Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
05/10/2026 09:00,O H,61846,25.20,-2.74,0.01
05/10/2026 09:00,PJM,61847,28.00,0.06,0.01
05/10/2026 09:00,WEST,61752,25.33,-2.60,0.02
05/10/2026 10:00,CAPITL,61757,32.08,0.73,-8.61
05/10/2026 10:00,CENTRL,61754,23.30,-0.45,-1.01
05/10/2026 10:00,DUNWOD,61760,32.28,2.07,-7.47
05/10/2026 10:00,GENESE,61753,21.72,-1.55,-0.52
05/10/2026 10:00,H Q,61844,22.65,-0.09,0.00
05/10/2026 10:00,HUD VL,61758,31.75,1.62,-7.39
05/10/2026 10:00,LONGIL,61762,32.77,2.55,-7.48
05/10/2026 10:00,MHK VL,61756,24.74,0.23,-1.77
05/10/2026 10:00,MILLWD,61759,32.13,1.89,-7.50
05/10/2026 10:00,N.Y.C.,61761,32.44,2.23,-7.47
05/10/2026 10:00,NORTH,61755,22.43,-0.32,0.00
05/10/2026 10:00,NPX,61845,39.30,1.27,-15.28
05/10/2026 10:00,O H,61846,21.00,-2.25,-0.51
05/10/2026 10:00,PJM,61847,27.03,0.09,-4.19
05/10/2026 10:00,WEST,61752,21.13,-2.11,-0.50
05/10/2026 11:00,CAPITL,61757,32.99,0.69,-10.19
05/10/2026 11:00,CENTRL,61754,22.81,-0.47,-1.16
05/10/2026 11:00,DUNWOD,61760,33.02,2.06,-8.84
05/10/2026 11:00,GENESE,61753,21.18,-1.57,-0.64
05/10/2026 11:00,H Q,61844,22.05,-0.07,0.00
05/10/2026 11:00,HUD VL,61758,32.46,1.59,-8.75
05/10/2026 11:00,LONGIL,61762,40.64,2.50,-16.02
05/10/2026 11:00,MHK VL,61756,24.54,0.31,-2.11
05/10/2026 11:00,MILLWD,61759,32.85,1.86,-8.88
05/10/2026 11:00,N.Y.C.,61761,33.15,2.19,-8.84
05/10/2026 11:00,NORTH,61755,21.88,-0.24,0.00
05/10/2026 11:00,NPX,61845,34.50,1.24,-11.14
05/10/2026 11:00,O H,61846,20.40,-2.32,-0.60
05/10/2026 11:00,PJM,61847,27.15,0.07,-4.96
05/10/2026 11:00,WEST,61752,20.48,-2.23,-0.60
05/10/2026 12:00,CAPITL,61757,32.11,0.63,-9.76
05/10/2026 12:00,CENTRL,61754,22.38,-0.46,-1.11
05/10/2026 12:00,DUNWOD,61760,32.26,2.07,-8.47
05/10/2026 12:00,GENESE,61753,20.83,-1.50,-0.61
05/10/2026 12:00,H Q,61844,21.64,-0.09,0.00
05/10/2026 12:00,HUD VL,61758,31.69,1.59,-8.38
